2022-05-09-06-06: epoch: 1 |tot 3.834982 | hm 1.290480 | wh 3.382745 | reg 0.268472 | tracking 1.937756 | time 21.900000 | 
2022-05-09-06-28: epoch: 2 |tot 2.312526 | hm 0.866370 | wh 2.021743 | reg 0.246175 | tracking 0.997808 | time 21.716667 | 
2022-05-09-06-49: epoch: 3 |tot 2.038499 | hm 0.725166 | wh 1.835676 | reg 0.238031 | tracking 0.891734 | time 21.700000 | 
2022-05-09-07-11: epoch: 4 |tot 1.830567 | hm 0.639424 | wh 1.611497 | reg 0.232005 | tracking 0.797988 | time 21.700000 | 
2022-05-09-07-33: epoch: 5 |tot 1.737747 | hm 0.576342 | wh 1.482925 | reg 0.227924 | tracking 0.785189 | time 21.700000 | 
2022-05-09-07-54: epoch: 6 |tot 1.670305 | hm 0.541906 | wh 1.407447 | reg 0.224339 | tracking 0.763315 | time 21.716667 | 
2022-05-09-08-16: epoch: 7 |tot 1.570751 | hm 0.505225 | wh 1.345899 | reg 0.219608 | tracking 0.711329 | time 21.700000 | 
2022-05-09-08-38: epoch: 8 |tot 1.546581 | hm 0.486194 | wh 1.307326 | reg 0.216860 | tracking 0.712795 | time 21.700000 | 
2022-05-09-09-00: epoch: 9 |tot 1.478436 | hm 0.457623 | wh 1.262704 | reg 0.215358 | tracking 0.679184 | time 21.700000 | 
2022-05-09-09-21: epoch: 10 |tot 1.438591 | hm 0.438485 | wh 1.234366 | reg 0.210054 | tracking 0.666616 | time 21.700000 | 
2022-05-09-09-43: epoch: 11 |tot 1.406068 | hm 0.423115 | wh 1.205288 | reg 0.209384 | tracking 0.653041 | time 21.700000 | 
2022-05-09-10-05: epoch: 12 |tot 1.362508 | hm 0.399809 | wh 1.151360 | reg 0.207089 | tracking 0.640474 | time 21.700000 | 
2022-05-09-10-27: epoch: 13 |tot 1.349837 | hm 0.394946 | wh 1.149269 | reg 0.204222 | tracking 0.635741 | time 21.700000 | 
2022-05-09-10-48: epoch: 14 |tot 1.331806 | hm 0.386500 | wh 1.137554 | reg 0.203452 | tracking 0.628098 | time 21.700000 | 
2022-05-09-11-10: epoch: 15 |tot 1.315780 | hm 0.370842 | wh 1.112885 | reg 0.200883 | tracking 0.632767 | time 21.700000 | 
2022-05-09-11-32: epoch: 16 |tot 1.256155 | hm 0.349493 | wh 1.065745 | reg 0.199717 | tracking 0.600371 | time 21.716667 | 
2022-05-09-11-53: epoch: 17 |tot 1.263821 | hm 0.350964 | wh 1.064827 | reg 0.197395 | tracking 0.608979 | time 21.700000 | 
2022-05-09-12-15: epoch: 18 |tot 1.254823 | hm 0.343107 | wh 1.053797 | reg 0.197168 | tracking 0.609169 | time 21.716667 | 
2022-05-09-12-37: epoch: 19 |tot 1.236496 | hm 0.340347 | wh 1.041112 | reg 0.193839 | tracking 0.598198 | time 21.716667 | 
